LukeeyProctor	excited to be going back to Liverpool is an understatement
holyshityouguys	Goddammit, “I’ve never seen Star Wars” is going to be the new “I don’t have a TV."
MsSmileeey	but i laughed when Kitty saw them
thecatarina	Why do they put the fitness place next to the Brooklyn pie? Ugh.
danband88	so I'm barely over last night when the ministry of sound shout goes up for next weekend from @billstocking87
danband88	Football this afternoon after a trip to the bookies! National day better pick a winner
harrison_bt	How be @littlemalc this morning?
shinypinkbottle	2AM: i'll sleep right after i finish this one little part. 30 mins. np.3:45AM: oh wait, i need to fix that too. 30 mins. np.*dies*
Dagny_Galt	Thank you, Florida! #Trump2016 pic.twitter.com/npcw1AN2ht
azwatergeek	Kansas vs Oklahoma would be even better with Vitale's mike muted.
holyshityouguys	#FarewellCaptain @ Yankee Stadium http://instagram.com/p/slPab-Cz-H/
RD_II	Damn I want to go see Donald Trump in Huntsville Sunday.
SusLikesTurtles	#booklove2015 'Fool's Assassin' by Robin Hobb. Swallowed me whole. I'm reading the Farseer trilogy now to catch up with the past.
chicagomarriott	Kristen Wiig adds more appearances to Chicago visit  http://dnain.fo/1WNflAl
markokloos	The pleasure of waking up in one's own bed and using one's own shower cannot possibly be overrated.
stevenacook	So what happens when the Saudi/Emirati effort to goad the U.S. into a major commitment to #Syria fails?
CiLH1	#HowOldAreYou Remember the opening of space needle at Expo 60. Also 3rd IBM 1101. Man in space soonest.
AiR_Adams	Elites, not the masses, govern America
taylorzayak	Pulled out the good old #CalendarDays. Perfect. @TheRocketSummer
gammagum	What an unusual voice. This is more like it!!! Feels very #EurovisionSongContest #gre #SBSEurovision
arakiraz	Kang Don Wong and coffee. Nice combo and just in time for my coffee break.  https://twitter.com/shuralou/status/667362701488873472 …
radiogeyser	There are 75,000 Russians in Egypt. #BBC
azwatergeek	God Bless @tedcruz calling Mitch McConnell out as a LIAR on Senate Floor! Ballshttp://www.theguardian.com/us-news/video/2015/jul/25/ted-cruz-senate-majority-leader-mitch-mcconnell-liar-video … #pjnet pic.twitter.com/Mvx07I0pgT
Raw_Lew	Your girl so bad, let me get her
novellus_NCL	Get your novellus lash serum now in time to grow your own amazing #lashes in time for #xmas… https://instagram.com/p/8rABuVounK/
Sean29_	I've had some good days out in my time but Minival yesterday was up there pic.twitter.com/ciXJx7YQXF
BennyOBrien	Okay, we just lined up a KILLER guest for #BonusStage at #PAXaus. Seriously guys, keep your Friday night free! ;)
Burnett2312	Time for bed .. Night
Face_Nod	That's it, I'm done folks. Have a good night folks. #oscars #thisshitistoolong
HeckYeahArchie	Thanks for spamming my mention box @Cemeditaaa
2duckfeet	C'mon .@RedSox fans! Tell @NESN how you feel about @DonOrsillo 's departure. THIS IS RIDICULOUS to let the best man in the biz go!!!
kjr44035	Hey @SamAmicoFSO you think that kyrie kid might be something special once  he gets some confidence? #unbelievable
lxmk1	Masoud Shojaei is a very handsome man.
md_gaudet	I'm going to Mexico in a few hours
paaammycake	I'm always craving coffee flavored ice cream
_Lyude	there is no generalizing republicans. the entire party is bad. if you are not bad and a republican, you're actually probably bad.
JanetRWeil	#Breaking: Statement/Live Video from @BYP_100 #STOPTHECOPS actions happening NOW in #Chicago http://byp100.org/stopthecops/  pic.twitter.com/LBxqhzY9O1
SusLikesTurtles	Boarding time! I'll see you in Paris! Wheeee! #LafaJet
Scoutbloke	@thanetrigged Perhaps some Degualleites didn't want Fagrage so near them & hijacked the boxes?. Plot thickens...
chrismjmarsh	David Bowie gave to music, what a rainbow gives to rain and sunshine. Except this rainbow will never fade. Thank you #DavidBowie.
LucilleBaller_	If you're not willing to put in the effort, don't expect it in return.
jnvk2m	BREAKING TWEETS Senate committee holds hearing climate negotiations  http://www.msnbc.com/shift/watch/live-senate-holds-climate-change-hearing-547856451759 … @MichaelEMann @pdykstra @billmckibben @BillNye
Prohighfiver	This is a conundrum...I really want to watch the ND/GT game, but I also wanna watch Auburn get worked guess I gotta head to the bars
MarkLittlewood	If you find "Daesh" hard to pronounce, you can call it "Saudi Arabia". Then you get to trade with it.
SimplySidneyx3	I could care less what you say about my school if you actually know what you are talking about
Toadsanime	Stephen Fry's reason for leaving Twitter seems fair enough to me. pic.twitter.com/pa7WdxlnXZ
LucilleBaller_	Every time my little nugget passes out early and stays asleep all night I'm like  when I should be like
Aye_ItsTishaB	Gone out a lil slight work on them hoes. https://twitter.com/aye_itstishab/status/697786356521684992 …
SusLikesTurtles	"Danny, my first friend. Be my second on Thunder Road." I SEE YOU, #HAMILTON. Also I love you. #GreaseLive #SusAtTheMovies
SassafrasSassy	You can find the links in my TL. Help yourself. Measured against the Constitution, Trump is sadly lacking. @jrcannonq1 @SfaLumberjack21
Megs_Saban	"I got bit by a mosquito" shouldn't be something I can say in December.
_Lonely_Shadows	Winks. https://vine.co/v/OvhrvXO3Mhg
_veronicaviolet	On my way to class and I am twenty minutes early. I guess there really is a first time for everything.
dragonkid88	who doesnt kno u dont eat #cocaine dammit pam it aint #doughnut powder #archerfx #sarcasm
jessica_r13	“@UberFacts: Smarter people are more likely to suffer from anxiety and depression.”NO WONDER IM SO MESSED UPMUST BE A GENIUS....
ArtGo80	#Tunesday #ICYMI @KeithUrban @MarenMorris and @bretteldredge were "Rollin' in the Deep" over at @SXMTheHighway https://youtu.be/8rUJJTjoOLQ
BenSchleuss	Ugh. So cowardly! https://twitter.com/llerer/status/626049280902602752 …
Archie_Saunders	What do you mean? Did you not like her before?!  https://twitter.com/jacktweetbread/status/669258408009289728 …
vernfl291	#WakeUpAmericaPERENIAL WISDOM#PamelaGeller #America #COSProject #Veterans #tcot #pjnet pic.twitter.com/H2tkWjm8oM
JennaValleys	I love don't tell the bride
